freq,indic,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 
Q,TOTAL,I15_NSA,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.80 	117.90 	118.80 	118.90 	118.30 	120.70 	120.30 	119.50 	119.00 	118.10 	115.90 	113.60 	110.50 	110.20 	108.60 	107.10 	105.70 	104.70 	103.50 	101.90 	99.70 	99.80 	100.70 	99.80 	99.80 	100.50 	100.70 	100.00 	99.10 	99.60 	99.20 	98.80 	98.60 	99.20 	98.40 	98.30 	97.70 	99.10 	98.80 	98.50 	99.40 	102.40 	99.80 	100.00 	101.10 	102.80 	103.90 	104.00 	105.70 	108.10 	106.90 	106.80 	106.80 	108.80 	108.70 	108.70 	108.50 	112.00 	112.80 	113.60 p
Q,TOTAL,I15_NSA,LT	: 	: 	: 	: 	86.60 	87.40 	96.21 	106.78 	111.26 	115.87 	123.42 	125.67 	129.90 	134.49 	132.09 	122.54 	97.97 	92.79 	88.52 	84.41 	82.75 	84.57 	83.94 	85.55 	89.20 	89.88 	89.67 	90.31 	89.99 	89.05 	89.94 	89.25 	89.86 	91.20 	89.60 	91.92 	93.33 	97.11 	98.68 	96.76 	97.49 	100.49 	102.07 	99.95 	100.78 	103.91 	107.48 	109.43 	111.07 	114.52 	116.66 	116.94 	119.78 	123.00 	124.35 	125.59 	129.20 	131.11 	132.36 	133.77 	137.26 	140.25 	140.85 	146.35 	153.69 	158.87 	167.44 	175.36 	183.12 	193.91 	199.70 	203.46 	207.18 	212.05 	217.15 	220.40 	227.70 	234.01 	236.40 	241.98 
Q,TOTAL,I15_NSA,LU	: 	: 	: 	: 	: 	: 	: 	: 	72.67 	73.16 	76.13 	75.72 	75.38 	77.55 	77.27 	77.43 	75.58 	76.05 	75.36 	77.09 	80.09 	78.99 	80.20 	81.28 	80.93 	82.88 	82.87 	85.67 	84.60 	86.26 	86.49 	88.96 	89.16 	90.27 	91.40 	92.74 	91.36 	94.72 	95.98 	97.45 	97.80 	99.87 	101.27 	101.06 	102.64 	105.44 	107.02 	108.92 	109.84 	112.21 	112.28 	113.50 	116.84 	117.90 	120.78 	123.92 	125.00 	131.35 	134.41 	137.19 	142.67 	148.74 	152.97 	160.08 	167.17 	168.74 	173.22 	179.48 	184.34 	188.40 	192.30 	189.35 	181.20 	177.25 	165.52 	161.96 	160.90 	162.41 	162.44 	164.23 p
Q,TOTAL,I15_NSA,LV	: 	: 	: 	: 	89.95 	99.22 	109.54 	119.19 	134.59 	138.58 	149.52 	146.78 	157.05 	154.19 	143.82 	120.71 	98.98 	89.04 	87.60 	85.34 	78.52 	78.80 	80.83 	83.25 	86.98 	88.51 	91.36 	88.05 	89.22 	90.28 	92.54 	93.41 	93.52 	97.37 	98.52 	101.08 	103.39 	104.90 	109.04 	96.57 	96.63 	100.06 	100.40 	102.91 	103.49 	109.52 	110.04 	110.90 	113.11 	119.53 	119.72 	119.69 	126.02 	129.91 	128.34 	132.93 	134.04 	140.19 	144.58 	144.69 	145.77 	142.30 	147.08 	147.92 	149.97 	159.51 	165.31 	171.79 	176.06 	185.56 	187.79 	186.61 	186.40 	195.54 	193.46 	188.14 	193.14 	196.94 	203.62 	203.30 p
Q,TOTAL,I15_NSA,MT	56.65 	56.48 	61.17 	59.43 	62.34 	69.34 	71.59 	76.88 	80.89 	84.76 	86.24 	87.10 	94.40 	90.54 	96.44 	95.19 	91.74 	89.78 	90.87 	87.90 	91.50 	91.16 	94.04 	87.45 	88.65 	90.79 	91.03 	88.73 	90.50 	89.49 	96.03 	94.13 	91.37 	90.10 	94.33 	92.83 	92.82 	92.73 	94.58 	97.92 	95.30 	96.07 	102.72 	105.92 	100.29 	102.78 	107.62 	111.12 	105.61 	108.88 	113.02 	116.59 	111.25 	115.49 	119.27 	123.77 	118.53 	122.76 	126.44 	130.86 	125.06 	127.57 	129.81 	133.01 	130.82 	134.42 	137.52 	138.99 	139.69 	144.63 	146.23 	147.24 	149.89 	152.24 	154.51 	157.05 	159.98 p	162.74 p	165.30 p	165.22 p
Q,TOTAL,I15_NSA,NL	104.59 	105.68 	107.22 	107.70 	108.87 	110.28 	111.55 	112.56 	114.01 	115.06 	117.26 	118.40 	118.46 	118.67 	120.17 	117.64 	116.48 	113.12 	112.14 	112.10 	111.67 	111.54 	111.68 	111.02 	111.18 	109.59 	109.17 	107.15 	105.19 	103.45 	99.39 	99.79 	97.07 	95.04 	95.69 	95.42 	95.82 	96.37 	96.94 	97.31 	98.29 	99.20 	101.02 	101.50 	102.52 	104.03 	106.58 	108.03 	110.20 	112.06 	115.22 	117.74 	120.32 	122.64 	126.45 	128.20 	130.34 	132.15 	134.49 	136.54 	139.30 	142.60 	146.00 	148.37 	153.72 	160.55 	169.59 	175.90 	182.94 	188.58 	189.95 	185.89 	183.14 	180.92 	182.91 	186.07 	189.87 	194.81 	201.98 	206.15 p
Q,TOTAL,I15_NSA,NO	52.88 d	54.35 d	54.84 d	54.89 d	58.31 d	61.19 d	63.20 d	63.95 d	67.97 d	70.51 d	70.41 d	68.83 d	70.46 d	71.33 d	68.89 d	64.06 d	66.72 d	70.25 d	71.49 d	71.49 d	73.93 	76.65 	76.27 	76.21 	80.12 	82.16 	82.48 	83.05 	85.07 	87.82 	88.28 	88.73 	91.21 	92.25 	91.75 	89.76 	90.92 	94.26 	94.89 	94.88 	98.29 	100.66 	100.93 	100.12 	102.86 	107.18 	109.87 	111.61 	114.86 	115.54 	112.35 	112.23 	113.57 	116.08 	116.29 	116.16 	118.54 	121.68 	120.52 	119.97 	122.18 	125.53 	128.18 	128.54 	134.20 	138.47 	139.48 	138.48 	144.62 	147.68 	147.93 	142.62 	147.07 	150.50 	147.25 	145.68 	149.75 	154.96 	154.35 	152.59 
Q,TOTAL,I15_NSA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	104.60 	105.87 	106.02 	105.95 	105.88 	106.57 	105.41 	104.92 	103.50 	102.82 	101.41 	100.29 	97.70 	97.52 	97.43 	97.49 	97.15 	99.30 	98.66 	98.89 	99.06 	100.43 	100.63 	99.88 	100.00 	100.84 	102.73 	103.86 	103.33 	105.44 	106.50 	107.86 	109.48 	111.95 	113.43 	116.11 	118.34 	121.10 	123.59 	127.06 	131.66 	134.31 	137.06 	138.42 	141.16 	145.50 	149.28 	155.15 	160.30 	163.50 	167.38 	169.64 	169.52 	175.00 	182.88 	191.72 	200.04 	205.92 	209.20 	211.65 
Q,TOTAL,I15_NSA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.23 	109.59 	106.56 	104.74 	105.67 	106.65 	106.70 	107.13 	107.74 	108.16 	107.32 	106.21 	105.45 	103.18 	101.49 	98.25 	96.84 	94.64 	93.70 	94.31 	92.45 	92.25 	92.75 	94.89 	96.16 	97.70 	97.31 	96.98 	96.94 	100.57 	100.65 	101.84 	103.67 	106.91 	108.31 	109.57 	111.89 	115.51 	119.60 	121.06 	125.58 	128.49 	129.72 	132.34 	137.14 	140.65 	143.67 	146.07 	151.67 	154.34 	153.61 	157.69 	161.70 	166.40 	171.30 	175.96 	182.64 	188.31 	193.82 	195.91 	198.55 	204.74 	208.48 	211.27 	212.45 	220.74 	228.89 	235.68 
Q,TOTAL,I15_NSA,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.70 	126.97 	126.51 	130.93 	123.93 	121.99 	117.48 	114.77 	110.14 	108.11 	102.31 	98.75 	101.74 	101.15 	97.44 	97.71 	100.99 	100.42 	98.04 	97.59 	98.37 	96.88 	96.01 	97.62 	101.01 	99.76 	98.87 	100.36 	103.65 	106.59 	105.86 	107.70 	108.96 	114.27 	112.44 	113.75 	116.10 	119.66 	118.88 	119.83 	119.91 	121.79 	123.57 	125.49 	129.62 	129.77 	126.38 	127.97 	131.45 	133.61 	133.78 	137.51 	139.82 	144.94 	143.20 	146.83 	146.28 	145.14 	150.02 	152.28 	154.26 	155.06 	155.86 	158.36 
Q,TOTAL,I15_NSA,SE	49.47 	51.12 	53.09 	54.48 	56.39 	58.00 	59.54 	59.90 	62.19 	65.98 	68.36 	66.41 	66.61 	67.90 	67.42 	63.96 	65.72 	67.65 	69.51 	71.38 	72.44 	73.33 	74.44 	75.65 	76.32 	76.34 	76.16 	74.67 	75.55 	76.66 	77.56 	77.53 	78.69 	80.13 	81.54 	82.78 	85.18 	87.07 	89.97 	91.39 	95.21 	98.37 	102.12 	104.30 	105.66 	106.90 	109.35 	111.06 	114.02 	115.97 	117.59 	114.13 	113.24 	114.04 	115.16 	114.96 	114.97 	116.51 	118.54 	118.73 	120.20 	120.30 	122.95 	124.99 	128.90 	133.44 	136.89 	138.62 	142.19 	142.86 	138.46 	133.49 	132.37 	133.15 	132.61 	129.59 	130.30 	132.13 	133.00 	132.64 
Q,TOTAL,I15_NSA,SI	: 	: 	: 	: 	: 	: 	: 	: 	115.66 	118.12 	122.08 	127.52 	129.32 	129.08 	131.52 	127.31 	119.37 	116.93 	114.95 	116.97 	117.41 	118.08 	116.53 	116.80 	122.24 	121.89 	119.01 	118.40 	113.60 	114.91 	111.90 	107.95 	108.72 	109.60 	103.30 	103.22 	101.51 	98.84 	97.77 	98.69 	100.11 	102.38 	98.77 	98.74 	100.94 	102.84 	103.69 	105.54 	107.68 	111.33 	112.17 	115.96 	118.04 	119.93 	122.67 	125.55 	126.98 	128.83 	131.33 	131.62 	132.99 	135.56 	135.65 	138.43 	142.65 	149.21 	153.15 	160.26 	166.93 	172.43 	176.40 	178.83 	181.96 	185.39 	186.33 	191.19 	193.48 	197.74 	201.07 	207.36 
Q,TOTAL,I15_NSA,SK	: 	: 	: 	: 	71.76 	74.64 	76.58 	80.96 	87.45 	93.62 	101.56 	109.38 	116.60 	120.39 	114.77 	110.44 	103.39 	98.59 	103.19 	98.09 	97.83 	97.23 	96.53 	96.63 	96.78 	95.35 	95.84 	94.42 	93.74 	92.89 	93.51 	91.63 	93.72 	93.93 	93.58 	93.52 	93.40 	94.91 	94.81 	96.70 	98.26 	100.16 	100.23 	101.34 	103.15 	106.06 	107.73 	109.72 	106.88 	113.01 	115.60 	116.16 	119.56 	120.98 	120.68 	124.06 	126.39 	131.03 	134.60 	137.58 	142.98 	143.75 	145.89 	147.47 	145.74 	150.53 	157.59 	163.21 	166.42 	175.57 	180.57 	179.07 	178.82 	171.75 	173.20 	176.56 	173.51 	178.70 	183.88 	190.58 
Q,TOTAL,I15_NSA,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.63 d	56.72 d	57.53 d	58.59 d	60.21 d	61.91 d	62.52 d	63.94 d	66.21 d	68.32 d	70.14 d	71.03 d	73.38 d	75.90 d	78.09 d	79.83 d	82.06 d	84.86 d	88.06 d	90.57 d	94.63 d	98.93 d	101.68 d	104.76 d	108.17 d	111.58 d	114.41 d	116.97 d	121.06 d	124.67 d	125.89 d	128.28 d	130.91 d	135.13 d	135.94 d	137.08 d	136.27 d	138.54 d	142.43 d	147.74 d	156.62 d	165.70 d	183.01 d	194.04 d	205.92 d	222.54 d	243.95 d	289.52 d	395.86 d	582.40 d	684.29 d	783.05 d	960.71 d	1112.22 d	1325.85 d	1466.37 d	1569.31 d	1664.83 d	1767.04 d	1884.94 d
Q,TOTAL,I15_NSA,UK	76.28 	78.53 	80.42 	80.59 	81.09 	84.14 	86.76 	88.42 	89.68 	93.09 	95.71 	95.67 	93.16 	92.56 	88.91 	83.01 	78.69 	79.75 	82.84 	84.48 	84.82 	86.40 	87.62 	85.76 	84.16 	84.84 	85.84 	84.68 	83.79 	85.30 	86.25 	85.45 	84.93 	86.64 	88.73 	89.24 	90.41 	93.69 	96.67 	96.83 	96.52 	98.60 	101.83 	103.05 	104.21 	106.48 	108.66 	108.59 	108.81 	111.23 	113.75 	113.65 	113.57 	114.86 	117.12 	116.55 	115.20 	115.99 	117.96 	117.51 	117.52 	117.58 	121.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,TOTAL,RT1,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.9 	1.3 	0.8 	0.2 	2.9 	1.6 	0.6 	2.7 	0.2 	3.8 	-0.8 	1.2 	3.6 	-0.5 	-0.1 	1.3 	1.6 	1.0 	0.9 	2.1 	1.8 	1.3 	-0.6 	3.4 	2.6 	1.3 	-0.1 	1.6 	2.5 	1.1 	-0.9 	2.2 	3.3 	1.0 	0.9 	0.3 	3.5 	1.6 	0.7 	2.0 	2.2 	2.9 	0.5 	3.9 	3.5 	3.0 	2.5 	4.6 	2.9 	2.5 	-4.2 	-1.2 	0.2 	-0.2 	-1.8 	-1.2 	3.0 	0.5 	-0.6 p
Q,TOTAL,RT1,BE	: 	2.2 	3.5 	2.1 	1.9 	2.7 	3.0 	0.8 	2.3 	2.0 	1.8 	0.5 	0.9 	1.3 	1.5 	-0.6 	-1.3 	-0.9 	2.3 	-0.9 	0.4 	0.8 	2.2 	-0.2 	0.9 	0.7 	2.0 	-0.3 	0.8 	0.2 	1.1 	-0.3 	0.5 	0.5 	1.1 	-0.9 	-1.1 	0.0 	1.4 	0.4 	-1.3 	1.2 	2.4 	-0.1 	-1.0 	1.0 	2.2 	0.3 	0.4 	0.1 	3.2 	-0.6 	0.2 	1.1 	2.0 	-0.5 	0.9 	0.8 	3.2 	-0.6 	0.5 	1.2 	2.1 	2.0 	0.8 	1.9 	2.6 	0.5 	1.1 	1.7 	2.1 	-0.3 	0.4 	-0.4 	1.3 	1.4 	0.8 	-0.3 	1.6 	0.8 p
Q,TOTAL,RT1,BG	: 	4.3 e	2.9 e	2.4 e	4.7 e	1.6 e	4.6 e	5.5 e	9.3 e	5.4 e	7.5 e	8.8 e	6.8 e	5.9 e	3.1 e	-4.2 e	-11.4 e	-9.6 e	-4.7 	-2.7 	-2.2 	-0.6 	-1.1 	-1.2 	-2.0 	-1.8 	-0.7 	-1.4 	0.1 	0.4 	-0.1 	-1.8 	-0.8 	0.5 	-1.0 	0.1 	1.0 	0.3 	0.2 	1.1 	0.5 b	0.9 	-0.5 	3.0 	1.1 	2.8 	1.6 	2.4 	1.9 	2.4 	2.0 	1.6 	0.9 	2.8 	0.8 	0.9 	2.6 	0.6 	1.3 	1.5 	1.2 	-1.1 	3.5 	1.7 	3.2 	0.3 	3.2 	2.4 	5.2 b	3.1 	4.1 	0.4 	1.6 	4.3 	2.7 	1.2 	7.1 	3.4 	3.9 	2.7 p
Q,TOTAL,RT1,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	1.9 	-0.2 	-0.1 	1.6 	0.6 	1.5 	1.0 	0.5 	0.1 	1.8 	-0.8 	1.4 	0.2 	2.3 	-0.1 	2.2 	2.4 	2.6 	-0.4 	2.7 	1.2 	1.2 	-1.2 	1.2 	0.2 	1.1 	-1.0 	1.1 	0.5 	1.8 
Q,TOTAL,RT1,CY	: 	2.1 	3.6 	1.9 	2.4 	3.3 	3.9 	3.2 	2.0 	2.8 	3.6 	0.9 	3.6 	0.6 	-1.3 	-3.7 	-1.3 	-1.0 	-1.6 	-2.4 	-1.6 	-1.4 	-0.4 	-0.3 	-0.4 	2.2 	-2.4 	-3.3 	-1.1 	-0.4 	3.9 	-1.7 	-3.4 	0.2 	-1.6 	-2.2 	-2.7 	5.6 	-0.8 	-1.1 	-4.0 b	3.1 	1.9 	-3.0 	-2.1 	1.9 	2.7 	0.8 	-3.0 	3.1 	-0.3 	2.7 	-2.0 	0.9 	-0.9 	3.8 	0.8 	4.4 	-6.3 	0.8 	2.5 	0.3 	-4.8 	4.7 	-5.7 	1.4 	2.5 	-3.1 	0.5 	2.3 	3.4 	-1.5 	1.9 	-0.1 	0.5 	-0.6 	1.4 	1.2 	0.7 	-1.0 
Q,TOTAL,RT1,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	1.5 	-0.6 	-2.2 	-3.2 	-0.8 	-0.7 	0.0 	0.2 	-0.3 	0.1 	0.2 	0.5 	-0.6 	-0.9 	-0.5 	0.1 	-0.2 	-0.1 	-0.1 	0.5 	-0.1 	-0.2 	1.3 	0.8 	0.8 	0.7 	1.0 	1.1 	1.2 	1.1 	1.3 	2.0 	2.5 	4.7 	3.0 	2.5 	1.8 	0.9 	2.2 	3.0 	2.5 	1.9 	2.1 	2.5 	2.0 	2.1 	1.8 	1.7 	2.6 	2.6 	5.9 	5.2 	6.9 	5.7 	4.7 	3.4 	1.0 	-2.2 	-1.3 	-0.4 	0.3 	0.3 	0.9 	2.6 	2.2 	2.4 
Q,TOTAL,RT1,DE	: 	-1.8 	2.1 	-2.8 	1.5 	0.4 	-1.4 	0.9 	-3.6 	2.1 	-0.1 	0.0 	1.5 	0.4 	-1.8 	0.2 	0.0 	1.6 	-0.2 	1.6 	-1.4 	1.6 	0.0 	-0.6 	2.7 	1.2 	-0.5 	0.7 	0.8 	1.2 	1.5 	1.3 	-0.3 	2.0 	-0.2 	0.1 	0.9 	2.0 	0.5 	0.0 	1.7 	2.1 	0.5 	1.4 	2.1 	2.9 	1.8 	1.5 	0.5 	2.0 	1.7 	2.0 	0.9 	1.9 	2.1 	1.2 	0.0 	2.6 	1.4 	2.4 	0.8 	1.8 	3.0 	2.9 	1.4 	3.8 	4.2 	2.7 	0.4 	1.8 	-0.8 	-5.3 	-2.6 	-1.3 	-1.4 	-2.0 	-0.6 p	1.5 p	0.7 p	0.3 p
Q,TOTAL,RT1,DK	: 	5.2 	7.7 	6.6 	7.1 	6.1 	2.0 	-1.0 	0.4 	1.3 	0.2 	-1.9 	-1.3 	0.3 	-2.6 	-7.8 	-6.3 	1.2 	0.8 	-0.4 	0.6 	2.1 	0.8 	-1.0 	-1.0 	2.3 	-3.3 	-3.6 	0.0 	1.5 	0.3 	-0.5 	1.3 	3.6 	0.1 	-1.4 	1.4 	3.8 	-0.5 	-0.4 	0.7 b	6.0 	2.4 	0.2 	-3.3 	5.0 	3.3 	-0.5 	-1.7 	4.2 	2.3 	-0.6 	0.0 	3.8 	0.2 	-1.2 	0.1 	2.3 	1.1 	-1.0 	0.7 	2.1 	2.4 	1.9 	2.4 	5.6 	2.6 	0.2 	1.0 	1.8 	0.3 	-2.4 	-4.2 	0.4 	1.8 	1.6 	-2.6 	3.1 	3.1 	0.2 
Q,TOTAL,RT1,EA	: 	1.5 	2.5 	0.7 	1.9 	2.1 	1.4 	1.2 	0.1 	1.8 	1.0 	0.2 	0.5 	0.3 	-0.5 	-1.6 	-1.3 	-0.2 	-0.1 	0.4 	-0.4 	1.2 	0.5 	-0.1 	0.4 	0.8 	-0.3 	-1.0 	-0.9 	-0.3 	-0.3 	-0.5 	-1.6 	0.4 	0.1 	-0.5 	-0.2 	0.9 	0.4 	-0.5 	0.0 	1.5 	0.9 	0.2 	0.9 	1.7 	1.5 	0.5 	0.7 	1.5 	1.6 	0.8 	0.9 	1.6 	1.5 	0.6 	0.4 	1.8 	1.4 	0.8 	1.1 	1.6 	1.4 	1.4 	1.4 	2.7 	3.2 	1.9 	1.6 	2.2 	0.8 	-1.9 	-0.8 	0.2 	0.2 	-0.8 	0.1 	1.9 	1.5 	0.6 
