freq,indic,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 
Q,TOTAL,RT1,EA20	: 	1.5 	2.6 	0.9 	2.0 	2.1 	1.6 	1.4 	0.3 	1.9 	1.2 	0.3 	0.6 	0.4 	-0.6 	-1.7 	-1.5 	-0.3 	-0.1 	0.4 	-0.4 	1.2 	0.5 	-0.1 	0.4 	0.8 	-0.3 	-1.0 	-0.9 	-0.3 	-0.3 	-0.5 	-1.6 	0.4 	0.1 	-0.5 	-0.2 	0.9 	0.4 	-0.5 	0.0 	1.5 	0.9 	0.2 	0.9 	1.6 	1.5 	0.5 	0.6 	1.5 	1.6 	0.8 	0.9 	1.6 	1.5 	0.6 	0.4 	1.8 	1.4 	0.9 	1.1 	1.6 	1.3 	1.4 	1.4 	2.8 	3.2 	1.9 	1.6 	2.2 	0.9 	-1.9 	-0.8 	0.2 	0.2 	-0.8 	0.1 	1.9 	1.5 	0.6 
Q,TOTAL,RT1,EE	: 	12.8 	5.6 	13.1 	13.0 	10.1 	7.0 	10.5 	3.3 	6.4 	-2.9 	-1.4 	-3.1 	-3.0 	-0.1 	-14.4 	-21.5 	-7.0 	-7.4 	-1.7 	11.7 	0.9 	3.8 	-3.5 	5.5 	2.9 	1.9 	1.0 	1.3 	3.3 	2.6 	-1.4 	3.1 	3.7 	5.4 	2.6 	4.8 	1.1 	4.1 	-0.2 	2.9 	3.3 	-1.9 	0.8 	-0.1 	3.1 	3.4 	1.1 	-0.1 	0.3 	3.4 	1.3 	1.5 	1.1 	0.2 	2.8 	1.7 	0.9 	2.5 	2.9 	4.8 	-5.8 	2.3 	3.8 	6.6 	2.6 	3.4 	6.6 	7.1 	8.0 	0.8 	0.2 	0.0 	3.8 	-0.3 	2.1 	2.0 	2.8 	-0.5 	-0.7 
Q,TOTAL,RT1,ES	: 	: 	: 	: 	3.7 	4.3 	3.3 	2.6 	2.4 	2.9 	1.1 	-0.7 	-0.4 	-0.3 	-1.6 	-3.1 	-2.7 	-0.4 	-0.9 	-0.4 	-1.3 	1.6 	-1.7 	-0.1 	-3.4 	-1.2 	-3.6 	-5.2 	-5.0 	-3.2 	-3.7 	-1.4 	-5.1 	-0.8 	0.8 	-1.3 	-0.3 	1.7 	0.2 	0.2 	-0.5 	4.1 	0.7 	0.0 	1.4 	1.8 	0.8 	0.4 	2.3 	2.0 	1.8 	0.9 	1.4 	2.6 	2.2 	0.4 	1.6 	1.1 	1.6 	-0.6 	1.2 	0.0 	1.2 	-0.8 	0.4 	2.4 	2.1 	1.2 	2.6 	1.9 	1.7 	-0.8 	0.7 	2.1 	2.5 	-1.0 	2.7 	3.6 	2.8 	1.8 
Q,TOTAL,RT1,EU	: 	1.7 	2.5 	1.1 	2.0 	2.7 	2.8 	2.4 	1.8 	2.6 	1.7 	0.0 	0.0 	0.4 	-1.1 	-2.5 	-2.3 	-0.2 	0.5 	0.4 	-0.3 	1.2 	0.5 	-0.4 	0.0 	0.7 	-0.3 	-1.2 	-0.7 	0.0 	-0.2 	-0.5 	-1.2 	0.6 	0.4 	-0.3 	0.2 	1.4 	0.8 	-0.2 	0.2 	1.7 	1.3 	0.4 	0.9 	1.8 	1.6 	0.6 	0.7 	1.8 	1.6 	0.6 	0.8 	1.7 	1.5 	0.6 	0.4 	1.7 	1.5 	0.8 	1.4 	1.5 	1.4 	1.4 	1.8 	2.9 	3.1 	2.1 	2.0 	2.3 	0.8 	-1.5 	-0.7 	0.4 	0.7 	-0.2 	0.6 	2.0 	1.5 	0.7 
Q,TOTAL,RT1,EU27_2020	: 	1.5 	2.5 	1.3 	3.0 	2.5 	2.8 	2.5 	1.9 	2.4 	1.5 	0.0 	0.4 	0.5 	-0.6 	-1.9 	-1.9 	-0.5 	-0.1 	0.2 	-0.5 	1.1 	0.4 	-0.1 	0.2 	0.7 	-0.5 	-1.1 	-0.7 	-0.3 	-0.4 	-0.5 	-1.3 	0.4 	0.0 	-0.4 	0.0 	1.0 	0.4 	-0.3 	0.3 	1.6 	1.0 	0.3 	0.9 	1.7 	1.5 	0.7 	0.7 	1.7 	1.5 	0.7 	1.0 	1.7 	1.5 	0.8 	0.7 	1.9 	1.5 	1.0 	1.4 	1.5 	1.4 	1.4 	1.8 	2.9 	3.1 	2.1 	2.0 	2.3 	0.8 	-1.5 	-0.7 	0.4 	0.7 	-0.2 	0.6 	1.9 	1.5 	0.8 
Q,TOTAL,RT1,FI	: 	2.9 	1.6 	2.2 	1.2 	2.3 	0.7 	1.5 	2.2 	1.7 	0.3 	0.2 	1.0 	0.9 	-1.3 	-3.8 	2.4 	1.6 	1.5 	2.1 	2.3 	0.9 	1.1 	0.0 	1.3 	1.8 	-0.2 	-0.6 	1.7 	1.1 	-0.1 	0.3 	0.6 	0.4 	-0.1 	-0.6 	0.1 	0.4 	-0.4 	-0.6 	0.1 b	0.9 	-0.1 	-0.5 	0.7 	1.1 	0.3 	-0.8 	0.6 	1.5 	-0.7 	-0.4 	0.6 	1.2 	-0.5 	-0.3 	-0.1 	1.5 	-0.6 	-0.7 	1.0 	1.0 	0.4 	1.1 	1.5 	2.4 	-0.2 	0.2 	1.0 	1.4 	-1.2 	-3.5 	-1.9 	0.9 	-2.9 	-1.0 	-1.3 	0.2 	-0.7 	0.0 
Q,TOTAL,RT1,FR	: 	4.2 	4.7 	1.9 	2.2 	3.1 	3.1 	0.8 	0.8 	1.8 	2.2 	0.6 	-0.6 	0.4 	0.2 	-3.3 	-3.7 	-1.4 	1.6 	0.3 	0.7 	2.0 	2.7 	1.2 	0.7 	1.9 	2.0 	-0.9 	-1.3 	0.1 	0.6 	-1.4 	-1.2 	-0.1 	0.9 	-1.1 	-1.2 	0.2 	0.7 	-2.0 	-0.9 	0.2 	1.4 	-0.8 	-0.4 	0.5 	2.1 	-0.5 	0.7 	1.0 	2.0 	-0.4 	0.3 	0.9 	2.1 	-0.1 	0.0 	1.2 	2.3 	0.3 	1.0 	1.4 	2.0 	1.2 	0.7 	1.6 	3.3 	1.1 	0.8 	1.7 	2.7 	-0.6 	-0.9 	-0.5 	0.4 	-2.7 	-2.2 	-0.2 	1.6 	-1.0 p
Q,TOTAL,RT1,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7 	1.9 	-2.6 	-0.4 	-3.3 	-1.8 	-1.8 	-1.9 	-1.4 	-0.9 	0.3 	-0.9 	1.6 	0.7 	0.6 	-0.6 	-1.3 	-0.7 	-3.4 	-0.1 	-0.6 	0.3 	-1.3 	-0.7 	0.9 	-0.8 	-0.8 	-1.1 	-1.9 	0.7 	0.1 	1.3 	-0.9 	1.0 	-0.6 	0.1 	3.7 	0.6 	3.2 	0.9 	-0.2 	2.8 	1.1 	3.5 	2.6 	0.6 	2.9 	2.7 	1.8 	-0.6 	2.5 	0.9 	3.6 	1.7 	2.5 	5.0 	3.7 	2.8 	4.7 	2.0 	3.5 	0.3 	3.4 	1.7 	4.3 	2.4 	1.4 
Q,TOTAL,RT1,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.4 	4.0 	0.8 	-1.5 	1.3 	0.4 	-2.0 	-0.6 	-3.0 	-1.7 	-2.8 	2.5 	-0.5 	-0.5 	-1.9 	-0.3 	-0.8 	-1.3 	-0.5 	1.0 	-3.4 	-0.8 	-2.0 	0.3 	0.2 	0.1 	-1.3 	1.9 	2.1 	1.9 	2.3 	2.6 	5.4 	4.4 	1.5 	4.5 	2.4 	2.9 	1.5 	4.5 	2.7 	3.0 	2.1 	5.1 	2.8 	4.2 	2.6 	8.3 	3.3 	1.6 	-0.8 	4.0 	-2.1 	3.8 	-1.4 	9.4 	4.3 	3.7 	3.7 	9.8 	5.7 	3.0 	-1.7 	4.0 	1.0 	0.4 	1.7 	8.6 p	1.8 p	0.8 p	1.3 p
Q,TOTAL,RT1,IE	: 	2.1 	3.9 	4.4 	1.8 	4.0 	6.0 	2.2 	1.7 	0.4 	-0.1 	-0.6 	-2.1 	-2.7 	-2.7 	-5.1 	-7.0 	-6.9 	-4.2 	-2.3 	-3.5 	-3.4 	-2.9 	-4.4 	-4.5 	-5.2 	-5.9 	-5.6 	-4.5 	-2.3 	1.2 	0.8 	-2.8 	0.0 	5.6 	2.9 	1.6 	5.6 	8.1 	3.2 	-0.2 	2.3 	3.2 	1.5 	0.4 	1.1 	4.3 	2.5 	1.2 	2.2 	5.5 	2.4 	1.7 	2.4 	2.2 	0.7 	-0.9 	0.5 	1.4 	-0.2 	-0.8 	-0.1 	0.3 	1.3 	1.5 	2.4 	5.1 	4.2 	2.6 	1.8 	2.8 	1.2 	-0.7 	-0.5 	1.5 	2.9 	2.3 	1.5 	2.9 	2.4 p
Q,TOTAL,RT1,IS	: 	10.6 	6.9 	4.2 	3.5 	3.6 	1.6 	0.0 	0.5 	4.8 	4.7 	3.5 	1.2 	-0.4 	-0.5 	-2.2 	-3.9 	-4.9 	-2.2 	2.3 	-3.0 	0.4 	0.2 	1.0 	-0.4 	3.2 	2.1 	2.0 	1.1 	2.1 	1.3 	0.1 	0.7 	2.7 	2.5 	1.7 	2.3 	2.4 	1.0 	1.7 	2.9 	2.2 	1.1 	2.2 	2.1 	1.6 	3.9 	5.4 	4.6 	6.6 	4.3 	1.0 	1.4 	1.2 	2.1 	1.2 	0.6 	0.7 	0.7 	2.4 	0.9 	2.1 	1.8 	2.2 	2.2 	5.3 	3.4 	4.0 	4.2 	7.7 	6.3 	1.4 	-0.3 	2.5 	-0.9 	2.5 	1.6 	2.9 	3.8 	0.7 
Q,TOTAL,RT1,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	0.8 	0.1 	-0.5 	2.0 	-0.3 	-0.7 	-0.4 	-0.8 	-1.9 	-2.0 	-2.7 	-0.3 	-1.5 	-1.4 	-1.3 	-0.9 	-1.1 	-1.5 	-2.2 	0.1 	0.9 	-0.9 	0.0 	0.7 	0.2 	-0.7 	-0.9 	0.5 	-0.4 	-0.4 	-0.2 	0.6 	-0.8 	-0.1 	-0.6 	1.4 	-0.3 	-0.3 	0.9 	3.0 	-2.5 	0.2 	1.1 	1.7 	1.1 	0.1 	1.6 	2.3 	-1.1 	-0.1 	0.0 	1.9 	-0.1 	0.0 	-0.2 	3.2 	0.7 	0.7 p
Q,TOTAL,RT1,LT	: 	: 	: 	: 	: 	0.9 	10.1 	11.0 	4.2 	4.1 	6.5 	1.8 	3.4 	3.5 	-1.8 	-7.2 	-20.1 	-5.3 	-4.6 	-4.6 	-2.0 	2.2 	-0.7 	1.9 	4.3 	0.8 	-0.2 	0.7 	-0.4 	-1.0 	1.0 	-0.8 	0.7 	1.5 	-1.8 	2.6 	1.5 	4.1 	1.6 	-1.9 	0.8 	3.1 	1.6 	-2.1 	0.8 	3.1 	3.4 	1.8 	1.5 	3.1 	1.9 	0.2 	2.4 	2.7 	1.1 	1.0 	2.9 	1.5 	1.0 	1.1 	2.6 	2.2 	0.4 	3.9 	5.0 	3.4 	5.4 	4.7 	4.4 	5.9 	3.0 	1.9 	1.8 	2.4 	2.4 	1.5 	3.3 	2.8 	1.0 	2.4 
Q,TOTAL,RT1,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7 	4.1 	-0.5 	-0.4 	2.9 	-0.4 	0.2 	-2.4 	0.6 	-0.9 	2.3 	3.9 	-1.4 	1.5 	1.3 	-0.4 	2.4 	0.0 	3.4 	-1.2 	2.0 	0.3 	2.9 	0.2 	1.2 	1.3 	1.5 	-1.5 	3.7 	1.3 	1.5 	0.4 	2.1 	1.4 	-0.2 	1.6 	2.7 	1.5 	1.8 	0.8 	2.2 	0.1 	1.1 	2.9 	0.9 	2.4 	2.6 	0.9 	5.1 	2.3 	2.1 	4.0 	4.3 	2.8 	4.6 	4.4 	0.9 	2.7 	3.6 	2.7 	2.2 	2.1 	-1.5 	-4.3 	-2.2 	-6.6 	-2.2 	-0.7 	0.9 	0.0 	1.1 p
Q,TOTAL,RT1,LV	: 	: 	: 	: 	: 	10.3 	10.4 	8.8 	12.9 	3.0 	7.9 	-1.8 	7.0 	-1.8 	-6.7 	-16.1 	-18.0 	-10.0 	-1.6 	-2.6 	-8.0 	0.4 	2.6 	3.0 	4.5 	1.8 	3.2 	-3.6 	1.3 	1.2 	2.5 	0.9 	0.1 	4.1 	1.2 	2.6 	2.3 	1.5 	3.9 	-11.4 	0.1 	3.5 	0.3 	2.5 	0.6 	5.8 	0.5 	0.8 	2.0 	5.7 	0.2 	0.0 	5.3 	3.1 	-1.2 	3.6 	0.8 	4.6 	3.1 	0.1 	0.7 	-2.4 	3.4 	0.6 	1.4 	6.4 	3.6 	3.9 	2.5 	5.4 	1.2 	-0.6 	-0.1 	4.9 	-1.1 	-2.7 	2.7 	2.0 	3.4 	-0.2 p
Q,TOTAL,RT1,MT	: 	-0.3 	8.3 	-2.8 	4.9 	11.2 	3.2 	7.4 	5.2 	4.8 	1.7 	1.0 	8.4 	-4.1 	6.5 	-1.3 	-3.6 	-2.1 	1.2 	-3.3 	4.1 	-0.4 	3.2 	-7.0 	1.4 	2.4 	0.3 	-2.5 	2.0 	-1.1 	7.3 	-2.0 	-2.9 	-1.4 	4.7 	-1.6 	0.0 	-0.1 	2.0 	3.5 	-2.7 	0.8 	6.9 	3.1 	-5.3 	2.5 	4.7 	3.3 	-5.0 	3.1 	3.8 	3.2 	-4.6 	3.8 	3.3 	3.8 	-4.2 	3.6 	3.0 	3.5 	-4.4 	2.0 	1.8 	2.5 	-1.6 	2.8 	2.3 	1.1 	0.5 	3.5 	1.1 	0.7 	1.8 	1.6 	1.5 	1.6 	1.9 p	1.7 p	1.6 p	0.0 p
Q,TOTAL,RT1,NL	: 	1.0 	1.5 	0.4 	1.1 	1.3 	1.2 	0.9 	1.3 	0.9 	1.9 	1.0 	0.1 	0.2 	1.3 	-2.1 	-1.0 	-2.9 	-0.9 	0.0 	-0.4 	-0.1 	0.1 	-0.6 	0.1 	-1.4 	-0.4 	-1.9 	-1.8 	-1.7 	-3.9 	0.4 	-2.7 	-2.1 	0.7 	-0.3 	0.4 	0.6 	0.6 	0.4 	1.0 	0.9 	1.8 	0.5 	1.0 	1.5 	2.5 	1.4 	2.0 	1.7 	2.8 	2.2 	2.2 	1.9 	3.1 	1.4 	1.7 	1.4 	1.8 	1.5 	2.0 	2.4 	2.4 	1.6 	3.6 	4.4 	5.6 	3.7 	4.0 	3.1 	0.7 	-2.1 	-1.5 	-1.2 	1.1 	1.7 	2.0 	2.6 	3.7 	2.1 p
Q,TOTAL,RT1,NO	: 	2.8 d	0.9 d	0.1 d	6.2 d	4.9 d	3.3 d	1.2 d	6.3 d	3.7 d	-0.1 d	-2.2 d	2.4 d	1.2 d	-3.4 d	-7.0 d	4.2 d	5.3 d	1.8 d	0.0 d	3.4 d	3.7 	-0.5 	-0.1 	5.1 	2.5 	0.4 	0.7 	2.4 	3.2 	0.5 	0.5 	2.8 	1.1 	-0.5 	-2.2 	1.3 	3.7 	0.7 	0.0 	3.6 	2.4 	0.3 	-0.8 	2.7 	4.2 	2.5 	1.6 	2.9 	0.6 	-2.8 	-0.1 	1.2 	2.2 	0.2 	-0.1 	2.0 	2.6 	-1.0 	-0.5 	1.8 	2.7 	2.1 	0.3 	4.4 	3.2 	0.7 	-0.7 	4.4 	2.1 	0.2 	-3.6 	3.1 	2.3 	-2.2 	-1.1 	2.8 	3.5 	-0.4 	-1.1 
Q,TOTAL,RT1,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.2 	0.1 	-0.1 	-0.1 	0.7 	-1.1 	-0.5 	-1.4 	-0.7 	-1.4 	-1.1 	-2.6 	-0.2 	-0.1 	0.1 	-0.3 	2.2 	-0.6 	0.2 	0.2 	1.4 	0.2 	-0.7 	0.1 	0.8 	1.9 	1.1 	-0.5 	2.0 	1.0 	1.3 	1.5 	2.3 	1.3 	2.4 	1.9 	2.3 	2.1 	2.8 	3.6 	2.0 	2.0 	1.0 	2.0 	3.1 	2.6 	3.9 	3.3 	2.0 	2.4 	1.4 	-0.1 	3.2 	4.5 	4.8 	4.3 	2.9 	1.6 	1.2 
Q,TOTAL,RT1,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	-2.8 	-1.7 	0.9 	0.9 	0.0 	0.4 	0.6 	0.4 	-0.8 	-1.0 	-0.7 	-2.2 	-1.6 	-3.2 	-1.4 	-2.3 	-1.0 	0.7 	-2.0 	-0.2 	0.5 	2.3 	1.3 	1.6 	-0.4 	-0.3 	0.0 	3.7 	0.1 	1.2 	1.8 	3.1 	1.3 	1.2 	2.1 	3.2 	3.5 	1.2 	3.7 	2.3 	1.0 	2.0 	3.6 	2.6 	2.1 	1.7 	3.8 	1.8 	-0.5 	2.7 	2.5 	2.9 	2.9 	2.7 	3.8 	3.1 	2.9 	1.1 	1.3 	3.1 	1.8 	1.3 	0.6 	3.9 	3.7 	3.0 
Q,TOTAL,RT1,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.3 	-0.4 	3.5 	-5.3 	-1.6 	-3.7 	-2.3 	-4.0 	-1.8 	-5.4 	-3.5 	3.0 	-0.6 	-3.7 	0.3 	3.4 	-0.6 	-2.4 	-0.5 	0.8 	-1.5 	-0.9 	1.7 	3.5 	-1.2 	-0.9 	1.5 	3.3 	2.8 	-0.7 	1.7 	1.2 	4.9 	-1.6 	1.2 	2.1 	3.1 	-0.7 	0.8 	0.1 	1.6 	1.5 	1.6 	3.3 	0.1 	-2.6 	1.3 	2.7 	1.6 	0.1 	2.8 	1.7 	3.7 	-1.2 	2.5 	-0.4 	-0.8 	3.4 	1.5 	1.3 	0.5 	0.5 	1.6 
Q,TOTAL,RT1,SE	: 	3.3 	3.9 	2.6 	3.5 	2.9 	2.7 	0.6 	3.8 	6.1 	3.6 	-2.9 	0.3 	1.9 	-0.7 	-5.1 	2.8 	2.9 	2.7 	2.7 	1.5 	1.2 	1.5 	1.6 	0.9 	0.0 	-0.2 	-2.0 	1.2 	1.5 	1.2 	0.0 	1.5 	1.8 	1.8 	1.5 	2.9 	2.2 	3.3 	1.6 	4.2 	3.3 	3.8 	2.1 	1.3 	1.2 	2.3 	1.6 	2.7 	1.7 	1.4 	-2.9 	-0.8 	0.7 	1.0 	-0.2 	0.0 	1.3 	1.7 	0.2 	1.2 	0.1 	2.2 	1.7 	3.1 	3.5 	2.6 	1.3 	2.6 	0.5 	-3.1 	-3.6 	-0.8 	0.6 	-0.4 	-2.3 	0.5 	1.4 	0.7 	-0.3 
Q,TOTAL,RT1,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	3.4 	4.5 	1.4 	-0.2 	1.9 	-3.2 	-6.2 	-2.0 	-1.7 	1.8 	0.4 	0.6 	-1.3 	0.2 	4.7 	-0.3 	-2.4 	-0.5 	-4.1 	1.2 	-2.6 	-3.5 	0.7 	0.8 	-5.7 	-0.1 	-1.7 	-2.6 	-1.1 	0.9 	1.4 	2.3 	-3.5 	0.0 	2.2 	1.9 	0.8 	1.8 	2.0 	3.4 	0.8 	3.4 	1.8 	1.6 	2.3 	2.3 	1.1 	1.5 	1.9 	0.2 	1.0 	1.9 	0.1 	2.0 	3.0 	4.6 	2.6 	4.6 	4.2 	3.3 	2.3 	1.4 	1.8 	1.9 	0.5 	2.6 	1.2 	2.2 	1.7 	3.1 
Q,TOTAL,RT1,SK	: 	: 	: 	: 	: 	4.0 	2.6 	5.7 	8.0 	7.1 	8.5 	7.7 	6.6 	3.3 	-4.7 	-3.8 	-6.4 	-4.6 	4.7 	-4.9 	-0.3 	-0.6 	-0.7 	0.1 	0.2 	-1.5 	0.5 	-1.5 	-0.7 	-0.9 	0.7 	-2.0 	2.3 	0.2 	-0.4 	-0.1 	-0.1 	1.6 	-0.1 	2.0 	1.6 	1.9 	0.1 	1.1 	1.8 	2.8 	1.6 	1.8 	-2.6 	5.7 	2.3 	0.5 	2.9 	1.2 	-0.2 	2.8 	1.9 	3.7 	2.7 	2.2 	3.9 	0.5 	1.5 	1.1 	-1.2 	3.3 	4.7 	3.6 	2.0 	5.5 	2.8 	-0.8 	-0.1 	-4.0 	0.8 	1.9 	-1.7 	3.0 	2.9 	3.6 
Q,TOTAL,RT1,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.0 d	1.4 d	1.8 d	2.8 d	2.8 d	1.0 d	2.3 d	3.6 d	3.2 d	2.7 d	1.3 d	3.3 d	3.4 d	2.9 d	2.2 d	2.8 d	3.4 d	3.8 d	2.9 d	4.5 d	4.5 d	2.8 d	3.0 d	3.3 d	3.2 d	2.5 d	2.2 d	3.5 d	3.0 d	1.0 d	1.9 d	2.1 d	3.2 d	0.6 d	0.8 d	-0.6 d	1.7 d	2.8 d	3.7 d	6.0 d	5.8 d	10.4 d	6.0 d	6.1 d	8.1 d	9.6 d	18.7 d	36.7 d	47.1 d	17.5 d	14.4 d	22.7 d	15.8 d	19.2 d	10.6 d	7.0 d	6.1 d	6.1 d	6.7 d
Q,TOTAL,RT1,UK	: 	2.9 	2.4 	0.2 	0.6 	3.8 	3.1 	1.9 	1.4 	3.8 	2.8 	0.0 	-2.6 	-0.6 	-3.9 	-6.6 	-5.2 	1.3 	3.9 	2.0 	0.4 	1.9 	1.4 	-2.1 	-1.9 	0.8 	1.2 	-1.4 	-1.1 	1.8 	1.1 	-0.9 	-0.6 	2.0 	2.4 	0.6 	1.3 	3.6 	3.2 	0.2 	-0.3 	2.2 	3.3 	1.2 	1.1 	2.2 	2.0 	-0.1 	0.2 	2.2 	2.3 	-0.1 	-0.1 	1.1 	2.0 	-0.5 	-1.2 	0.7 	1.7 	-0.4 	0.0 	0.1 	3.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,TOTAL,RT4,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	5.3 	5.6 	5.4 	8.0 	5.1 	7.4 	5.9 	4.4 	8.0 	3.5 	4.2 	4.3 	2.3 	3.8 	4.9 	5.7 	6.0 	6.2 	4.6 	6.0 	6.7 	6.8 	7.3 	5.5 	5.4 	5.2 	4.3 	4.9 	5.8 	5.7 	7.5 	5.6 	5.8 	6.4 	6.3 	8.0 	6.6 	8.0 	7.7 	9.8 	11.2 	11.2 	13.4 	14.3 	13.6 	13.1 	5.7 	-0.2 	-2.8 	-5.4 	-3.0 	-2.9 	-0.2 	0.5 	1.7 p
Q,TOTAL,RT4,BE	: 	: 	: 	: 	10.1 	10.6 	10.0 	8.6 	9.0 	8.3 	7.1 	6.7 	5.3 	4.6 	4.3 	3.2 	1.0 	-1.3 	-0.5 	-0.8 	0.8 	2.6 	2.4 	3.2 	3.8 	3.7 	3.5 	3.4 	3.2 	2.7 	1.8 	1.7 	1.4 	1.7 	1.7 	1.1 	-0.4 	-0.9 	-0.7 	0.7 	0.5 	1.8 	2.7 	2.2 	2.5 	2.3 	2.1 	2.4 	4.0 	3.0 	4.0 	3.1 	2.9 	3.9 	2.6 	2.7 	3.4 	3.1 	4.3 	4.2 	3.8 	4.3 	3.2 	5.9 	6.2 	7.0 	7.6 	5.9 	6.2 	5.9 	5.4 	4.6 	3.9 	1.8 	1.0 	2.8 	3.2 	3.3 	3.6 	2.9 p
Q,TOTAL,RT4,BG	: 	: 	: 	: 	15.1 e	12.2 e	14.0 e	17.4 e	22.6 e	27.1 e	30.6 e	34.6 e	31.6 e	32.2 e	26.8 e	11.7 e	-7.3 e	-20.9 e	-26.8 e	-25.7 e	-18.0 e	-9.9 	-6.4 	-5.0 	-4.8 	-5.9 	-5.5 	-5.8 	-3.7 	-1.6 	-1.0 	-1.3 	-2.3 	-2.2 	-3.1 	-1.2 	0.7 	0.5 	1.8 	2.8 	2.3 b	2.8 	2.1 	4.0 	4.6 	6.5 	8.8 	8.1 	9.0 	8.6 	9.0 	8.2 	7.1 	7.5 	6.3 	5.5 	7.3 	5.0 	5.6 	6.2 	4.7 	2.9 	5.2 	5.4 	7.5 	9.1 	8.7 	9.4 	11.5 b	14.6 	15.6 	13.4 	9.5 	10.7 	9.2 	10.1 	16.0 	15.1 	16.5 	18.3 p
Q,TOTAL,RT4,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 	3.3 	1.9 	3.7 	4.8 	3.7 	3.1 	3.4 	1.6 	2.5 	2.6 	3.1 	3.9 	4.7 	6.9 	7.3 	7.0 	7.5 	6.3 	4.8 	3.9 	2.4 	1.3 	1.3 	1.5 	1.4 	1.7 	2.4 
