freq,indic,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 
Q,TOTAL,RT4,CY	: 	: 	: 	: 	10.3 	11.6 	12.0 	13.4 	13.0 	12.5 	12.1 	9.6 	11.3 	8.9 	3.7 	-0.9 	-5.5 	-7.1 	-7.4 	-6.2 	-6.6 	-6.9 	-5.7 	-3.6 	-2.5 	1.1 	-1.0 	-4.0 	-4.6 	-7.0 	-1.0 	0.6 	-1.7 	-1.2 	-6.4 	-6.9 	-6.2 	-1.2 	-0.3 	0.8 	-0.6 b	-2.9 	-0.2 	-2.1 	-0.2 	-1.4 	-0.6 	3.3 	2.4 	3.6 	0.6 	2.5 	3.5 	1.2 	0.6 	1.7 	4.7 	8.4 	2.4 	-0.5 	1.1 	-2.9 	-1.4 	2.4 	-5.8 	-4.8 	2.5 	-5.2 	1.1 	2.0 	2.9 	4.7 	6.1 	3.6 	0.6 	1.6 	1.1 	2.5 	2.7 	2.3 
Q,TOTAL,RT4,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	-4.4 	-6.6 	-6.8 	-4.7 	-1.3 	-0.8 	0.0 	0.2 	0.5 	0.2 	-0.8 	-1.6 	-2.0 	-1.6 	-0.7 	-0.3 	0.1 	0.2 	0.1 	1.5 	1.8 	2.8 	3.7 	3.5 	3.8 	4.1 	4.5 	4.8 	5.7 	7.1 	10.9 	12.8 	13.3 	12.5 	8.4 	7.6 	8.1 	8.8 	9.9 	9.8 	9.2 	8.7 	8.9 	8.6 	7.8 	8.4 	8.9 	13.4 	17.2 	22.1 	25.8 	24.3 	22.3 	15.6 	6.9 	0.9 	-2.9 	-3.5 	-1.0 	1.2 	4.2 	6.1 	8.4 
Q,TOTAL,RT4,DE	: 	: 	: 	: 	-1.2 	1.0 	-2.5 	1.2 	-3.8 	-2.2 	-0.9 	-1.7 	3.5 	1.7 	0.0 	0.2 	-1.2 	0.0 	1.6 	2.9 	1.5 	1.4 	1.7 	-0.5 	3.7 	3.3 	2.8 	4.2 	2.2 	2.3 	4.3 	4.9 	3.8 	4.5 	2.8 	1.5 	2.7 	2.8 	3.6 	3.4 	4.3 	4.4 	4.4 	5.8 	6.2 	7.0 	8.4 	8.4 	6.7 	5.8 	5.7 	6.2 	6.7 	6.6 	7.0 	6.2 	5.3 	6.0 	5.3 	6.5 	7.4 	6.6 	8.3 	8.7 	9.3 	11.5 	12.8 	12.6 	11.5 	9.4 	4.2 	-3.9 	-6.8 	-9.7 	-10.3 	-7.1 	-5.2 p	-2.5 p	-0.4 p	1.9 p
Q,TOTAL,RT4,DK	: 	: 	: 	: 	29.4 	30.4 	23.5 	14.7 	7.5 	2.7 	0.9 	0.0 	-1.7 	-2.7 	-5.3 	-11.0 	-15.6 	-14.8 	-11.9 	-4.8 	2.3 	3.2 	3.2 	2.5 	0.9 	1.0 	-3.1 	-5.6 	-4.6 	-5.4 	-1.8 	1.3 	2.7 	4.8 	4.5 	3.6 	3.6 	3.9 	3.3 	4.3 	3.6 b	5.8 	8.9 	9.5 	5.1 	4.1 	5.0 	4.2 	6.0 	5.3 	4.3 	4.2 	6.0 	5.6 	3.4 	2.8 	2.9 	1.4 	2.2 	2.4 	3.0 	2.8 	4.2 	7.2 	9.1 	12.8 	13.1 	11.2 	9.6 	5.7 	3.3 	0.7 	-4.5 	-5.8 	-4.4 	-0.5 	1.1 	3.9 	5.2 	3.7 
Q,TOTAL,RT4,EA	: 	: 	: 	: 	6.8 	7.4 	6.2 	6.7 	4.8 	4.5 	4.1 	3.1 	3.5 	2.1 	0.5 	-1.3 	-3.0 	-3.6 	-3.2 	-1.2 	-0.3 	1.2 	1.7 	1.2 	2.0 	1.7 	0.9 	-0.1 	-1.4 	-2.5 	-2.5 	-1.9 	-2.6 	-2.0 	-1.6 	-1.7 	-0.3 	0.2 	0.6 	0.6 	0.8 	1.4 	1.9 	2.6 	3.5 	3.7 	4.3 	4.6 	4.4 	4.2 	4.3 	4.6 	4.8 	4.9 	4.9 	4.7 	4.2 	4.4 	4.3 	4.5 	5.3 	5.1 	5.0 	5.6 	5.9 	7.1 	9.0 	9.5 	9.8 	9.2 	6.6 	2.7 	0.3 	-1.7 	-2.3 	-1.1 	-0.3 	1.4 	2.7 	4.2 
Q,TOTAL,RT4,EA20	: 	: 	: 	: 	7.2 	7.9 	6.8 	7.3 	5.4 	5.2 	4.7 	3.7 	4.0 	2.4 	0.7 	-1.4 	-3.4 	-4.0 	-3.6 	-1.5 	-0.4 	1.0 	1.7 	1.2 	2.0 	1.7 	0.9 	0.0 	-1.3 	-2.4 	-2.5 	-1.9 	-2.6 	-1.9 	-1.6 	-1.6 	-0.2 	0.3 	0.6 	0.6 	0.8 	1.4 	1.8 	2.6 	3.5 	3.7 	4.3 	4.6 	4.3 	4.2 	4.3 	4.6 	4.9 	4.9 	4.9 	4.7 	4.2 	4.5 	4.3 	4.5 	5.3 	5.1 	5.0 	5.6 	5.9 	7.1 	9.0 	9.5 	9.8 	9.2 	6.7 	2.8 	0.3 	-1.6 	-2.2 	-1.1 	-0.3 	1.4 	2.7 	4.2 
Q,TOTAL,RT4,EE	: 	: 	: 	: 	52.3 	48.6 	50.6 	47.2 	34.4 	29.9 	17.9 	5.2 	-1.3 	-10.0 	-7.4 	-19.6 	-34.9 	-37.7 	-42.2 	-33.6 	-5.5 	2.6 	15.0 	12.9 	6.7 	8.8 	6.8 	11.8 	7.3 	7.7 	8.4 	5.8 	7.7 	8.1 	11.1 	15.6 	17.5 	14.5 	13.2 	10.1 	8.0 	10.5 	4.0 	5.1 	2.0 	1.8 	7.4 	7.7 	7.7 	4.8 	4.7 	4.9 	6.6 	7.4 	4.1 	5.7 	5.9 	5.8 	8.1 	8.2 	11.5 	4.0 	3.9 	4.8 	6.6 	16.1 	17.3 	20.4 	21.0 	27.4 	24.2 	16.9 	9.2 	5.0 	3.8 	5.8 	7.8 	6.7 	6.4 	3.6 
Q,TOTAL,RT4,ES	: 	: 	: 	: 	: 	: 	: 	14.6 	13.1 	11.6 	9.2 	5.7 	2.8 	-0.3 	-2.9 	-5.2 	-7.4 	-7.6 	-6.9 	-4.4 	-3.0 	-1.0 	-1.7 	-1.4 	-3.6 	-6.2 	-8.1 	-12.7 	-14.2 	-16.0 	-16.1 	-12.7 	-12.8 	-10.6 	-6.4 	-6.3 	-1.6 	0.8 	0.3 	1.8 	1.5 	4.0 	4.5 	4.2 	6.3 	3.9 	4.0 	4.4 	5.3 	5.6 	6.7 	7.2 	6.2 	6.8 	7.2 	6.7 	6.9 	5.4 	4.8 	3.7 	3.3 	2.2 	1.8 	1.7 	0.9 	3.3 	4.2 	6.3 	8.5 	8.1 	7.6 	5.5 	3.5 	3.7 	4.5 	4.3 	6.4 	7.9 	8.3 	11.4 
Q,TOTAL,RT4,EU	: 	: 	: 	: 	7.5 	8.6 	8.9 	10.2 	10.0 	9.9 	8.7 	6.2 	4.3 	2.0 	-0.8 	-3.2 	-5.4 	-6.0 	-4.5 	-1.7 	0.3 	1.7 	1.8 	1.0 	1.3 	0.8 	0.0 	-0.7 	-1.4 	-2.2 	-2.1 	-1.5 	-1.9 	-1.3 	-0.7 	-0.5 	0.9 	1.7 	2.1 	2.2 	2.2 	2.5 	3.0 	3.6 	4.4 	4.5 	4.8 	5.0 	4.7 	4.8 	4.8 	4.8 	5.0 	4.8 	4.7 	4.7 	4.3 	4.3 	4.3 	4.5 	5.5 	5.3 	5.2 	5.8 	6.2 	7.6 	9.5 	10.3 	10.5 	9.9 	7.4 	3.6 	0.8 	-1.0 	-1.1 	0.2 	1.5 	3.0 	3.9 	4.9 
Q,TOTAL,RT4,EU27_2020	: 	: 	: 	: 	8.6 	9.6 	9.9 	11.2 	10.0 	9.9 	8.4 	5.9 	4.3 	2.4 	0.3 	-1.6 	-3.8 	-4.8 	-4.2 	-2.2 	-0.8 	0.7 	1.1 	0.8 	1.6 	1.2 	0.4 	-0.6 	-1.6 	-2.5 	-2.5 	-1.9 	-2.5 	-1.8 	-1.3 	-1.3 	0.0 	0.6 	1.0 	1.2 	1.4 	2.0 	2.6 	3.2 	3.8 	3.9 	4.5 	5.0 	4.8 	4.8 	4.8 	4.8 	5.0 	5.0 	5.0 	5.1 	4.7 	4.9 	4.8 	5.0 	5.8 	5.4 	5.3 	5.8 	6.2 	7.6 	9.5 	10.3 	10.5 	9.9 	7.4 	3.6 	0.8 	-1.0 	-1.1 	0.2 	1.5 	3.0 	3.9 	4.9 
Q,TOTAL,RT4,FI	: 	: 	: 	: 	8.1 	7.5 	6.5 	5.8 	6.9 	6.3 	5.9 	4.5 	3.3 	2.4 	0.8 	-3.2 	-1.9 	-1.3 	1.5 	7.7 	7.6 	6.9 	6.5 	4.3 	3.3 	4.3 	2.8 	2.3 	2.7 	1.9 	2.1 	3.0 	1.9 	1.2 	1.2 	0.3 	-0.2 	-0.2 	-0.5 	-0.5 	-0.6 b	0.0 	0.2 	0.4 	1.0 	1.2 	1.6 	1.3 	1.2 	1.6 	0.6 	1.0 	1.0 	0.7 	1.0 	1.0 	0.3 	0.7 	0.5 	0.1 	1.2 	0.6 	1.7 	3.5 	4.1 	5.5 	4.8 	3.9 	3.4 	2.4 	1.3 	-2.3 	-5.1 	-5.6 	-7.2 	-4.8 	-4.3 	-5.0 	-2.9 	-1.9 
Q,TOTAL,RT4,FR	: 	: 	: 	: 	13.7 	12.5 	10.7 	9.6 	8.0 	6.6 	5.7 	5.5 	4.0 	2.6 	0.6 	-3.3 	-6.3 	-8.0 	-6.7 	-3.3 	1.2 	4.7 	5.8 	6.8 	6.7 	6.6 	5.9 	3.7 	1.7 	-0.2 	-1.6 	-2.1 	-1.9 	-2.1 	-1.9 	-1.5 	-1.5 	-1.2 	-1.3 	-2.2 	-1.9 	-2.0 	-1.3 	-0.1 	0.4 	0.7 	1.4 	1.7 	2.8 	3.3 	3.2 	3.3 	2.9 	2.8 	2.8 	3.2 	2.9 	3.2 	3.4 	3.8 	4.9 	5.2 	4.9 	5.8 	5.5 	5.7 	7.1 	6.9 	7.0 	7.1 	6.5 	4.7 	2.9 	0.7 	-1.6 	-3.6 	-4.8 	-4.6 	-3.5 	-1.9 p
Q,TOTAL,RT4,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.5 	-4.5 	-7.9 	-7.1 	-8.6 	-6.7 	-5.9 	-3.9 	-2.9 	0.0 	1.6 	2.0 	2.3 	-0.6 	-2.0 	-5.9 	-5.5 	-4.8 	-3.8 	-1.7 	-2.2 	-0.8 	-1.9 	-1.4 	-1.8 	-4.5 	-3.0 	-2.1 	0.2 	1.2 	1.5 	0.8 	-0.4 	4.3 	3.8 	7.6 	8.5 	4.5 	6.8 	4.7 	7.4 	10.4 	8.0 	10.0 	9.1 	8.3 	6.9 	6.4 	4.6 	6.5 	9.0 	9.1 	13.5 	13.6 	14.8 	17.3 	14.0 	13.7 	10.9 	9.5 	9.1 	10.0 	12.3 	10.1 
Q,TOTAL,RT4,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.8 	4.7 	1.1 	-1.7 	-0.9 	-5.2 	-7.1 	-7.8 	-5.0 	-2.5 	-1.4 	-0.5 	-3.1 	-3.4 	-4.3 	-2.9 	-1.7 	-4.2 	-3.7 	-5.2 	-5.8 	-2.3 	-1.3 	-0.6 	0.9 	2.8 	4.6 	8.4 	9.2 	12.7 	15.6 	14.7 	16.9 	13.5 	11.8 	11.8 	11.7 	12.1 	12.2 	12.8 	13.4 	13.6 	14.9 	15.4 	19.0 	19.7 	16.7 	12.8 	8.3 	2.6 	4.8 	4.2 	9.6 	16.9 	16.7 	22.8 	23.2 	24.9 	24.1 	17.5 	11.3 	6.4 	3.7 	7.3 	12.0 p	12.9 p	13.4 p	13.0 p
Q,TOTAL,RT4,IE	: 	: 	: 	: 	12.8 	14.8 	17.2 	14.7 	14.6 	10.6 	4.2 	1.4 	-2.4 	-5.4 	-7.8 	-12.1 	-16.5 	-20.0 	-21.3 	-18.9 	-15.9 	-12.7 	-11.6 	-13.5 	-14.4 	-16.0 	-18.6 	-19.6 	-19.6 	-17.1 	-10.8 	-4.8 	-3.2 	-0.9 	3.5 	5.6 	10.4 	16.5 	19.2 	19.6 	17.5 	13.8 	8.7 	6.9 	7.5 	6.3 	7.5 	8.5 	9.3 	10.6 	11.8 	11.7 	12.3 	12.6 	9.1 	7.3 	4.4 	2.5 	1.7 	0.8 	1.0 	0.3 	-0.8 	0.7 	3.0 	5.6 	10.6 	13.8 	15.0 	14.3 	11.9 	8.6 	5.1 	2.7 	1.4 	3.1 	6.3 	8.4 	9.9 	9.3 p
Q,TOTAL,RT4,IS	: 	: 	: 	: 	27.6 	19.4 	13.5 	8.9 	5.8 	7.0 	10.3 	14.2 	14.9 	9.2 	3.8 	-1.9 	-6.8 	-11.0 	-12.5 	-8.4 	-7.7 	-2.6 	-0.2 	-1.5 	1.2 	4.1 	6.0 	7.2 	8.8 	7.6 	6.7 	4.7 	4.2 	4.8 	6.1 	7.8 	9.5 	9.1 	7.6 	7.5 	8.1 	8.0 	8.1 	8.7 	7.9 	7.3 	10.2 	13.6 	16.3 	22.0 	22.5 	17.3 	13.7 	8.0 	5.8 	6.1 	5.3 	4.7 	3.3 	4.4 	4.7 	6.2 	7.4 	7.2 	8.6 	12.0 	13.7 	15.7 	17.9 	20.7 	24.1 	21.0 	15.8 	10.1 	2.7 	3.8 	5.7 	6.1 	11.2 	9.2 
Q,TOTAL,RT4,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	2.4 	1.3 	0.5 	0.6 	-2.2 	-3.7 	-4.9 	-7.1 	-6.7 	-6.3 	-5.7 	-4.3 	-5.0 	-4.7 	-4.9 	-5.7 	-4.7 	-2.7 	-2.1 	0.1 	0.7 	0.0 	0.2 	-0.7 	-0.9 	-1.5 	-1.2 	-0.5 	-0.4 	-0.8 	-0.5 	-0.9 	-0.1 	0.4 	0.2 	1.7 	3.3 	1.0 	1.5 	1.7 	0.4 	4.1 	4.0 	4.5 	5.2 	2.9 	2.7 	1.0 	0.6 	1.7 	1.8 	1.6 	2.9 	3.8 	4.5 p
Q,TOTAL,RT4,LT	: 	: 	: 	: 	: 	: 	: 	: 	28.5 	32.6 	28.3 	17.7 	16.8 	16.1 	7.0 	-2.5 	-24.6 	-31.0 	-33.0 	-31.1 	-15.5 	-8.9 	-5.2 	1.4 	7.8 	6.3 	6.8 	5.6 	0.9 	-0.9 	0.3 	-1.2 	-0.1 	2.4 	-0.4 	3.0 	3.9 	6.5 	10.1 	5.3 	4.5 	3.5 	3.4 	3.3 	3.4 	3.4 	5.3 	9.5 	10.2 	10.2 	8.5 	6.9 	7.8 	7.4 	6.6 	7.4 	7.9 	6.6 	6.4 	6.5 	6.2 	7.0 	6.4 	9.4 	12.0 	13.3 	18.9 	19.8 	19.1 	22.1 	19.3 	16.0 	13.1 	9.4 	8.7 	8.3 	9.9 	10.4 	8.9 	9.8 
Q,TOTAL,RT4,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	6.0 	1.5 	2.3 	0.3 	-1.9 	-2.5 	-0.4 	6.0 	3.9 	6.4 	5.4 	1.0 	4.9 	3.3 	5.4 	4.5 	4.1 	4.4 	3.8 	5.4 	4.6 	5.7 	4.2 	2.5 	4.9 	5.0 	5.1 	7.0 	5.4 	5.5 	3.7 	4.9 	5.6 	5.7 	7.8 	7.0 	6.4 	4.9 	4.2 	6.4 	5.1 	7.6 	9.2 	7.0 	11.4 	11.3 	10.7 	14.1 	13.2 	13.8 	16.7 	17.2 	13.4 	13.2 	12.1 	10.3 	11.7 	11.0 	5.5 	-1.7 	-5.9 	-13.9 	-14.5 	-11.2 	-8.4 	-1.9 	1.4 p
Q,TOTAL,RT4,LV	: 	: 	: 	: 	: 	: 	: 	: 	49.6 	39.7 	36.5 	23.1 	16.7 	11.3 	-3.8 	-17.8 	-37.0 	-42.3 	-39.1 	-29.3 	-20.7 	-11.5 	-7.7 	-2.4 	10.8 	12.3 	13.0 	5.8 	2.6 	2.0 	1.3 	6.1 	4.8 	7.9 	6.5 	8.2 	10.6 	7.7 	10.7 	-4.5 	-6.5 	-4.6 	-7.9 	6.6 	7.1 	9.5 	9.6 	7.8 	9.3 	9.1 	8.8 	7.9 	11.4 	8.7 	7.2 	11.1 	6.4 	7.9 	12.7 	8.8 	8.8 	1.5 	1.7 	2.2 	2.9 	12.1 	12.4 	16.1 	17.4 	16.3 	13.6 	8.6 	5.9 	5.4 	3.0 	0.8 	3.6 	0.7 	5.3 	8.1 p
Q,TOTAL,RT4,MT	: 	: 	: 	: 	10.0 	22.8 	17.0 	29.4 	29.8 	22.2 	20.5 	13.3 	16.7 	6.8 	11.8 	9.3 	-2.8 	-0.8 	-5.8 	-7.7 	-0.3 	1.5 	3.5 	-0.5 	-3.1 	-0.4 	-3.2 	1.5 	2.1 	-1.4 	5.5 	6.1 	1.0 	0.7 	-1.8 	-1.4 	1.6 	2.9 	0.3 	5.5 	2.7 	3.6 	8.6 	8.2 	5.2 	7.0 	4.8 	4.9 	5.3 	5.9 	5.0 	4.9 	5.3 	6.1 	5.5 	6.2 	6.5 	6.3 	6.0 	5.7 	5.5 	3.9 	2.7 	1.6 	4.6 	5.4 	5.9 	4.5 	6.8 	7.6 	6.3 	5.9 	7.3 	5.3 	5.7 	6.7 	6.7 p	6.9 p	7.0 p	5.2 p
Q,TOTAL,RT4,NL	: 	: 	: 	: 	4.1 	4.4 	4.0 	4.5 	4.7 	4.3 	5.1 	5.2 	3.9 	3.1 	2.5 	-0.6 	-1.7 	-4.7 	-6.7 	-4.7 	-4.1 	-1.4 	-0.4 	-1.0 	-0.4 	-1.7 	-2.2 	-3.5 	-5.4 	-5.6 	-9.0 	-6.9 	-7.7 	-8.1 	-3.7 	-4.4 	-1.3 	1.4 	1.3 	2.0 	2.6 	2.9 	4.2 	4.3 	4.3 	4.9 	5.5 	6.4 	7.5 	7.7 	8.1 	9.0 	9.2 	9.4 	9.7 	8.9 	8.3 	7.8 	6.4 	6.5 	6.9 	7.9 	8.6 	8.7 	10.4 	12.6 	16.2 	18.6 	19.0 	17.5 	12.0 	5.7 	0.1 	-4.1 	-3.7 	0.1 	3.7 	7.7 	10.4 	10.8 p
Q,TOTAL,RT4,NO	: 	: 	: 	: 	10.3 d	12.6 d	15.2 d	16.5 d	16.6 d	15.2 d	11.4 d	7.6 d	3.7 d	1.2 d	-2.2 d	-6.9 d	-5.3 d	-1.5 d	3.8 d	11.6 d	10.8 d	9.1 d	6.7 d	6.6 d	8.4 	7.2 	8.1 	9.0 	6.2 	6.9 	7.0 	6.8 	7.2 	5.0 	3.9 	1.2 	-0.3 	2.2 	3.4 	5.7 	8.1 	6.8 	6.4 	5.5 	4.6 	6.5 	8.9 	11.5 	11.7 	7.8 	2.3 	0.6 	-1.1 	0.5 	3.5 	3.5 	4.4 	4.8 	3.6 	3.3 	3.1 	3.2 	6.4 	7.1 	9.8 	10.3 	8.8 	7.7 	7.8 	6.7 	6.1 	3.0 	1.7 	1.9 	-0.5 	2.1 	1.8 	3.0 	4.8 	4.7 
Q,TOTAL,RT4,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.2 	0.7 	-0.6 	-1.0 	-2.2 	-3.5 	-3.8 	-4.4 	-5.6 	-5.2 	-3.9 	-2.8 	-0.6 	1.8 	1.3 	1.4 	2.0 	1.1 	2.0 	1.0 	0.9 	0.4 	2.1 	4.0 	3.3 	4.6 	3.7 	3.9 	6.0 	6.2 	6.5 	7.6 	8.1 	8.2 	9.0 	9.4 	11.3 	10.9 	10.9 	8.9 	7.2 	8.3 	8.9 	12.1 	13.6 	12.4 	12.1 	9.3 	5.8 	7.0 	9.3 	13.0 	18.0 	17.7 	14.4 	10.4 
Q,TOTAL,RT4,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.3 	-2.7 	0.1 	2.3 	2.0 	1.4 	0.6 	-0.9 	-2.1 	-4.6 	-5.4 	-7.5 	-8.2 	-8.3 	-7.7 	-4.0 	-4.5 	-2.5 	-1.0 	0.6 	4.0 	5.9 	4.9 	2.2 	0.8 	2.9 	3.4 	5.0 	6.9 	6.3 	7.6 	7.6 	7.9 	8.0 	10.4 	10.5 	12.2 	11.2 	8.5 	9.3 	9.2 	9.5 	10.8 	10.4 	10.6 	9.7 	6.9 	8.0 	6.6 	7.8 	11.5 	11.6 	12.9 	13.2 	13.1 	11.3 	8.7 	8.7 	7.6 	7.8 	7.0 	7.8 	9.8 	11.6 
Q,TOTAL,RT4,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6.6 	-3.9 	-7.1 	-12.3 	-11.1 	-11.4 	-12.9 	-14.0 	-7.6 	-6.4 	-4.8 	-1.1 	-0.7 	-0.7 	0.6 	-0.1 	-2.6 	-3.5 	-2.1 	0.0 	2.7 	3.0 	3.0 	2.8 	2.6 	6.8 	7.1 	7.3 	5.1 	7.2 	6.2 	5.6 	6.6 	4.7 	5.7 	5.3 	3.3 	1.8 	3.9 	4.7 	8.1 	6.6 	2.3 	2.0 	1.4 	3.0 	5.9 	7.5 	6.4 	8.5 	7.0 	6.8 	4.6 	0.1 	4.8 	3.7 	5.5 	6.8 	3.9 	4.0 
Q,TOTAL,RT4,SE	: 	: 	: 	: 	14.0 	13.5 	12.1 	9.9 	10.3 	13.8 	14.8 	10.9 	7.1 	2.9 	-1.4 	-3.7 	-1.3 	-0.4 	3.1 	11.6 	10.2 	8.4 	7.1 	6.0 	5.4 	4.1 	2.3 	-1.3 	-1.0 	0.4 	1.8 	3.8 	4.2 	4.5 	5.1 	6.8 	8.2 	8.7 	10.3 	10.4 	11.8 	13.0 	13.5 	14.1 	11.0 	8.7 	7.1 	6.5 	7.9 	8.5 	7.5 	2.8 	-0.7 	-1.7 	-2.1 	0.7 	1.5 	2.2 	2.9 	3.3 	4.5 	3.3 	3.7 	5.3 	7.2 	10.9 	11.3 	10.9 	10.3 	7.1 	1.1 	-3.7 	-6.9 	-6.8 	-4.2 	-2.9 	-1.6 	-0.8 	0.3 	2.4 
Q,TOTAL,RT4,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.8 	9.3 	7.7 	-0.2 	-7.7 	-9.4 	-12.6 	-8.1 	-1.6 	1.0 	1.4 	-0.1 	4.1 	3.2 	2.1 	1.4 	-7.1 	-5.7 	-6.0 	-8.8 	-4.3 	-4.6 	-7.7 	-4.4 	-6.6 	-9.8 	-5.4 	-4.4 	-1.4 	3.6 	1.0 	0.1 	0.8 	0.4 	5.0 	6.9 	6.7 	8.3 	8.2 	9.9 	9.6 	7.7 	9.4 	8.3 	7.6 	7.4 	7.1 	4.8 	4.7 	5.2 	3.3 	5.2 	7.3 	10.1 	12.9 	15.8 	17.0 	15.6 	15.2 	11.6 	9.0 	7.5 	5.6 	6.9 	6.3 	6.7 	7.9 	8.5 
Q,TOTAL,RT4,SK	: 	: 	: 	: 	: 	: 	: 	: 	21.9 	25.4 	32.6 	35.1 	33.3 	28.6 	13.0 	1.0 	-11.3 	-18.1 	-10.1 	-11.2 	-5.4 	-1.4 	-6.5 	-1.5 	-1.1 	-1.9 	-0.7 	-2.3 	-3.1 	-2.6 	-2.4 	-3.0 	0.0 	1.1 	0.1 	2.1 	-0.3 	1.0 	1.3 	3.4 	5.2 	5.5 	5.7 	4.8 	5.0 	5.9 	7.5 	8.3 	3.6 	6.6 	7.3 	5.9 	11.9 	7.1 	4.4 	6.8 	5.7 	8.3 	11.5 	10.9 	13.1 	9.7 	8.4 	7.2 	1.9 	4.7 	8.0 	10.7 	14.2 	16.6 	14.6 	9.7 	7.5 	-2.2 	-4.1 	-1.4 	-3.0 	4.0 	6.2 	7.9 
Q,TOTAL,RT4,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.2 d	9.2 d	8.7 d	9.1 d	10.0 d	10.4 d	12.2 d	11.1 d	10.8 d	11.1 d	11.3 d	12.4 d	11.8 d	11.8 d	12.8 d	13.5 d	15.3 d	16.6 d	15.5 d	15.7 d	14.3 d	12.8 d	12.5 d	11.7 d	11.9 d	11.7 d	10.0 d	9.7 d	8.1 d	8.4 d	8.0 d	6.9 d	4.1 d	2.5 d	4.8 d	7.8 d	14.9 d	19.6 d	28.5 d	31.3 d	31.5 d	34.3 d	33.3 d	49.2 d	92.2 d	161.7 d	180.5 d	170.5 d	142.7 d	91.0 d	93.8 d	87.3 d	63.3 d	49.7 d	33.3 d	28.5 d
Q,TOTAL,RT4,UK	: 	: 	: 	: 	6.3 	7.1 	7.9 	9.7 	10.6 	10.6 	10.3 	8.2 	3.9 	-0.6 	-7.1 	-13.2 	-15.5 	-13.8 	-6.8 	1.8 	7.8 	8.3 	5.8 	1.5 	-0.8 	-1.8 	-2.0 	-1.3 	-0.4 	0.5 	0.5 	0.9 	1.4 	1.6 	2.9 	4.4 	6.5 	8.1 	8.9 	8.5 	6.8 	5.2 	5.3 	6.4 	8.0 	8.0 	6.7 	5.4 	4.4 	4.5 	4.7 	4.7 	4.4 	3.3 	3.0 	2.6 	1.4 	1.0 	0.7 	0.8 	2.0 	1.4 	2.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
